,model_index,model,num_clusters,data_pipeline_index,transformation_method,normalize_method,pca_components,cumsum_EV,SC,CHI,DBI
0,kmeans,KMeans,4,$P_{1}$,,,3,0.99,0.7539,130024.7564,0.4165
1,hclust,Agglomerative,4,$P_{1}$,,,3,0.99,0.7275,103705.2861,0.462
2,meanshift,MeanShift,4,$P_{1}$,,,3,0.99,0.7539,129966.3486,0.4165
3,kmeans,KMeans,4,$P_{2}$,,zscore,8,0.84,0.2626,5793.921,1.6221
4,hclust,Agglomerative,5,$P_{2}$,,zscore,8,0.84,0.2462,4701.0041,1.7023
5,meanshift,MeanShift,1,$P_{2}$,,zscore,8,0.84,0.0,0.0,0.0
6,kmeans,KMeans,5,$P_{3}$,,minmax,8,0.89,0.4105,10377.3437,1.2641
7,hclust,Agglomerative,5,$P_{3}$,,minmax,8,0.89,0.4041,10154.6949,1.2841
8,meanshift,MeanShift,2,$P_{3}$,,minmax,8,0.89,0.4426,13342.4127,0.9922
9,kmeans,KMeans,5,$P_{4}$,,maxabs,8,0.89,0.411,10401.495,1.2573
10,hclust,Agglomerative,4,$P_{4}$,,maxabs,8,0.89,0.4401,10905.5294,1.2039
11,meanshift,MeanShift,2,$P_{4}$,,maxabs,8,0.89,0.442,13304.9449,0.9928
12,kmeans,KMeans,4,$P_{5}$,,robust,6,0.86,0.4471,11913.9534,1.0607
13,hclust,Agglomerative,4,$P_{5}$,,robust,6,0.86,0.3858,10287.4223,1.1625
14,meanshift,MeanShift,3,$P_{5}$,,robust,6,0.86,0.4553,12577.8194,0.9602
15,kmeans,KMeans,5,$P_{6}$,yeo-johnson,,4,1.0,0.6079,19117.8225,0.942
16,hclust,Agglomerative,4,$P_{6}$,yeo-johnson,,4,1.0,0.5823,17582.1233,1.0915
17,meanshift,MeanShift,3,$P_{6}$,yeo-johnson,,4,1.0,0.5849,18447.7587,1.2694
18,kmeans,KMeans,5,$P_{7}$,yeo-johnson,zscore,8,0.89,0.2527,5186.1798,1.5283
19,hclust,Agglomerative,5,$P_{7}$,yeo-johnson,zscore,8,0.89,0.2337,4799.6949,1.6786
20,meanshift,MeanShift,2,$P_{7}$,yeo-johnson,zscore,8,0.89,0.3685,9344.9197,1.2211
21,kmeans,KMeans,5,$P_{8}$,yeo-johnson,minmax,8,0.91,0.3537,8986.5988,1.2605
22,hclust,Agglomerative,4,$P_{8}$,yeo-johnson,minmax,8,0.91,0.3846,9646.3802,1.317
23,meanshift,MeanShift,2,$P_{8}$,yeo-johnson,minmax,8,0.91,0.4383,13870.9523,0.983
24,kmeans,KMeans,5,$P_{9}$,yeo-johnson,maxabs,8,0.91,0.356,8869.1916,1.2949
25,hclust,Agglomerative,4,$P_{9}$,yeo-johnson,maxabs,8,0.91,0.3886,9505.3736,1.31
26,meanshift,MeanShift,2,$P_{9}$,yeo-johnson,maxabs,8,0.91,0.4321,13218.1198,0.9952
27,kmeans,KMeans,5,$P_{10}$,yeo-johnson,robust,8,0.9,0.2577,5349.1903,1.3634
28,hclust,Agglomerative,5,$P_{10}$,yeo-johnson,robust,8,0.9,0.193,4501.7227,1.4896
29,meanshift,MeanShift,1,$P_{10}$,yeo-johnson,robust,8,0.9,0.0,0.0,0.0
30,kmeans,KMeans,4,$P_{11}$,quantile,,7,0.92,0.5415,16482.6017,1.0515
31,hclust,Agglomerative,5,$P_{11}$,quantile,,7,0.92,0.5806,16557.4135,0.9216
32,meanshift,MeanShift,3,$P_{11}$,quantile,,7,0.92,0.5167,16090.8737,0.8242
33,kmeans,KMeans,5,$P_{12}$,quantile,zscore,8,0.87,0.2427,4635.1435,1.6448
34,hclust,Agglomerative,6,$P_{12}$,quantile,zscore,8,0.87,0.2215,3904.0858,1.6708
35,meanshift,MeanShift,1,$P_{12}$,quantile,zscore,8,0.87,0.0,0.0,0.0
36,kmeans,KMeans,4,$P_{13}$,quantile,minmax,7,0.92,0.5415,16482.6017,1.0515
37,hclust,Agglomerative,5,$P_{13}$,quantile,minmax,7,0.92,0.5806,16557.4135,0.9216
38,meanshift,MeanShift,3,$P_{13}$,quantile,minmax,7,0.92,0.5167,16090.8737,0.8242
39,kmeans,KMeans,4,$P_{14}$,quantile,maxabs,7,0.92,0.5415,16482.6017,1.0515
40,hclust,Agglomerative,5,$P_{14}$,quantile,maxabs,7,0.92,0.5806,16557.4135,0.9216
41,meanshift,MeanShift,3,$P_{14}$,quantile,maxabs,7,0.92,0.5167,16090.8737,0.8242
42,kmeans,KMeans,5,$P_{15}$,quantile,robust,6,0.9,0.4,5080.3153,1.1497
43,hclust,Agglomerative,5,$P_{15}$,quantile,robust,6,0.9,0.3457,4202.0616,1.2989
44,meanshift,MeanShift,14,$P_{15}$,quantile,robust,6,0.9,0.3356,914.3008,1.1252
